id,rate
01001,30.2
01003,25.7
01005,31.7
01007,29.3
01009,25.5
01011,35.1
01013,30
01015,28.8
01017,30.4
01019,26.5
01021,27.8
01023,31.2
01025,31.4
01027,27.8
01029,27.5
01031,30.4
01033,27.3
01035,31.9
01037,30.2
01039,26.8
01041,29.1
01043,25
01045,29
01047,35
01049,25.5
01051,27.3
01053,30.4
01055,28.7
01057,29.3
01059,27.7
01061,28.9
01063,35.2
01065,34.1
01067,30.5
01069,27
01071,30.3
01073,27.8
01075,26.7
01077,28.2
01079,27.8
01081,25.6
01083,28.8
01085,34.2
01087,37.7
01089,27.1
01091,31.8
01093,27.3
01095,28.2
01097,30.2
01099,30.6
01101,29.4
01103,26.3
01105,35.4
01107,30.6
01109,30.3
01111,29.5
01113,32.5
01115,27.6
01117,24.1
01119,35
01121,30.5
01123,26.8
01125,28.5
01127,29.1
01129,30.1
01131,35.7
01133,27.9
02013,28
02016,22.4
02020,25.3
02050,26.8
02060,27.6
02068,22
02070,25.9
02090,25.6
02100,23.8
02105,No Data
02110,22
02122,26.2
02130,25.7
02150,22
02164,29.6
02170,24
02180,27.3
02185,28.6
02188,30.2
02195,No Data
02198,No Data
02201,27.6
02220,21.3
02230,No Data
02232,26.4
02240,26.9
02261,28.5
02270,30.2
02275,No Data
02280,24
02282,27.4
02290,23.4
04001,28.5
04003,22.7
04005,19.6
04007,22.9
04009,22.8
04011,23.5
04012,22.1
04013,19
04015,21.1
04017,25.3
04019,18.3
04021,26.2
04023,17.5
04025,18.7
04027,23.9
05001,28.4
05003,27.9
05005,25.6
05007,23.9
05009,25.1
05011,27.7
05013,27.4
05015,25.3
05017,30.9
05019,26
05021,26.3
05023,25.2
05025,27.8
05027,27.8
05029,28.3
05031,28.4
05033,25.1
05035,30.4
05037,29.8
05039,30.2
05041,29.5
05043,29
05045,25.7
05047,25.1
05049,25.3
05051,24.3
05053,29.4
05055,29.4
05057,29.2
05059,28
05061,27.5
05063,26.2
05065,26
05067,27.4
05069,30.1
05071,25.5
05073,30
05075,25.5
05077,30.8
05079,28.6
05081,27.6
05083,27.8
05085,25
05087,25.8
05089,24.8
05091,29
05093,30.1
05095,30.2
05097,24.7
05099,28.1
05101,27.1
05103,29.1
05105,28
05107,31.8
05109,25.3
05111,26.9
05113,26.6
05115,27.3
05117,25.9
05119,23.7
05121,25.6
05123,30.3
05125,26.3
05127,25.9
05129,24.9
05131,28.9
05133,26.2
05135,23.8
05137,25.3
05139,28.8
05141,28.1
05143,21.3
05145,26.3
05147,28.4
05149,25.8
06001,21
06003,21.5
06005,19.1
06007,20.6
06009,19.3
06011,20.3
06013,22.1
06015,21
06017,19.7
06019,24.6
06021,20.1
06023,21.9
06025,21.8
06027,19.3
06029,24.9
06031,25.1
06033,21.4
06035,20.8
06037,19.4
06039,20.1
06041,16.8
06043,20.5
06045,21.4
06047,21.6
06049,22
06051,20.2
06053,21
06055,21.2
06057,19.9
06059,18.5
06061,17.7
06063,19.4
06065,22.8
06067,21.8
06069,23.5
06071,24.4
06073,18.6
06075,15.6
06077,24.2
06079,20.3
06081,18.5
06083,19.2
06085,19.7
06087,18
06089,21.8
06091,20.2
06093,23
06095,24
06097,21.1
06099,26.2
06101,23.3
06103,19.7
06105,21
06107,21.5
06109,20.1
06111,20
06113,20.8
06115,22.8
08001,21.4
08003,16.2
08005,18.4
08007,15.5
08009,16
08011,16.9
08013,12.3
08014,18.5
08015,15.9
08017,15.6
08019,15.8
08021,15.8
08023,15.9
08025,18.4
08027,15.7
08029,15.2
08031,13.9
08033,15.4
08035,12.9
08037,12.7
08039,15.7
08041,16.8
08043,17.3
08045,13.5
08047,16.6
08049,15.5
08051,14.6
08053,17.5
08055,16.9
08057,14
08059,14.3
08061,16.4
08063,17.9
08065,15.9
08067,13.4
08069,13.1
08071,17.5
08073,17.2
08075,17.9
08077,17.8
08079,16.1
08081,16.8
08083,17.6
08085,16.8
08087,18.8
08089,19.1
08091,16.7
08093,15
08095,17.5
08097,14.4
08099,19.2
08101,20.4
08103,16.9
08105,17.7
08107,14.3
08109,15.9
08111,16.4
08113,15.3
08115,16.1
08117,12.9
08119,16.4
08121,16.5
08123,18.7
08125,16.2
09001,17
09003,19.8
09005,17.6
09007,20.1
09009,22
09011,20.7
09013,19.2
09015,20.9
10001,27.7
10003,22
10005,25.2
11001,20
12001,20.7
12003,26.9
12005,21.7
12007,25.8
12009,22.3
12011,19.5
12013,25.7
12015,23.7
12017,21.9
12019,22.8
12021,19.4
12023,25.3
12027,25.5
12029,26.2
12031,23.8
12033,26.7
12035,20.7
12037,22.8
12039,27.2
12041,24.5
12043,23.7
12045,24
12047,27.3
12049,25.8
12051,24.6
12053,18.9
12055,21.5
12057,22.7
12059,26
12061,19.3
12063,24.8
12065,25.4
12067,23.6
12069,22.4
12071,21.5
12073,21.3
12075,24.7
12077,25.4
12079,25.1
12081,20.8
12083,25.1
12085,20.8
12086,18.6
12087,23.2
12089,23.6
12091,23.3
12093,26.2
12095,21.4
12097,22.8
12099,20.5
12101,23.3
12103,22.6
12105,24.5
12107,25.1
12109,20
12111,23
12113,22.8
12115,19.3
12117,20.9
12119,25.2
12121,25.8
12123,28.5
12125,25.2
12127,23.5
12129,26.5
12131,23
12133,27.2
13001,28.7
13003,26.8
13005,26.3
13007,31.7
13009,27.4
13011,24.7
13013,25.5
13015,24.5
13017,29.9
13019,26
13021,28.9
13023,27.3
13025,26.1
13027,29.1
13029,23.7
13031,25.6
13033,31.3
13035,27.2
13037,29.6
13039,29.2
13043,27.5
13045,26.9
13047,25.3
13049,26.6
13051,27.5
13053,27.5
13055,25.6
13057,21.8
13059,24
13061,30.1
13063,28.9
13065,27.2
13067,22
13069,28.1
13071,28.5
13073,23.4
13075,28.2
13077,25.6
13079,26.8
13081,28.2
13083,25
13085,24
13087,31
13089,23.9
13091,29.8
13093,29.5
13095,31.5
13097,27.3
13099,28.5
13101,25.7
13103,27
13105,28.6
13107,29.4
13109,27.8
13111,24.2
13113,25.3
13115,25.6
13117,20.5
13119,24.4
13121,24.2
13123,23.4
13125,25.9
13127,27
13129,26.3
13131,27.3
13133,27.6
13135,23.5
13137,24.1
13139,24
13141,31.6
13143,25.9
13145,25.5
13147,26.8
13149,26
13151,27.3
13153,27.5
13155,27
13157,24.1
13159,26.7
13161,30.7
13163,30.3
13165,29.4
13167,28.5
13169,26.8
13171,26.2
13173,26.1
13175,27.8
13177,23.1
13179,28.4
13181,28
13183,26.3
13185,25.8
13187,24.3
13189,28.3
13191,28.5
13193,31.7
13195,24.7
13197,28
13199,28.4
13201,26.4
13205,29.9
13207,27.5
13209,26.4
13211,27.2
13213,25
13215,28.8
13217,26.4
13219,23.3
13221,28.1
13223,26.3
13225,28.8
13227,24
13229,25.3
13231,25.7
13233,23.3
13235,27.9
13237,26.4
13239,28.2
13241,22.7
13243,31
13245,28.4
13247,27.5
13249,26.9
13251,29
13253,29.4
13255,26.8
13257,26.9
13259,30.6
13261,29.2
13263,30.1
13265,30.3
13267,26.6
13269,28.1
13271,27.4
13273,31.3
13275,28.8
13277,28
