id,rate
1001,55416
1003,208563
1005,25965
1007,22643
1009,57704
1011,10362
1013,19998
1015,114611
1017,33843
1019,25725
1021,43941
1023,12993
1025,24392
1027,13492
1029,14924
1031,51226
1033,54216
1035,12395
1037,10581
1039,37458
1041,13913
1043,82471
1045,49226
1047,40008
1049,70900
1051,81799
1053,37728
1055,102564
1057,16546
1059,31628
1061,26614
1063,8422
1065,14952
1067,17164
1069,104056
1071,52138
1073,659521
1075,13918
1077,92318
1079,33244
1081,158991
1083,92753
1085,10358
1087,18963
1089,356967
1091,19673
1093,29998
1095,95157
1097,414836
1099,21530
1101,226349
1103,119012
1105,9574
1107,20324
1109,33286
1111,22652
1113,58172
1115,88019
1117,210622
1119,13040
1121,80103
1123,40727
1125,206102
1127,64967
1129,16756
1131,10986
1133,23805
2013,3296
2016,5647
2020,298192
2050,17968
2060,898
2068,1953
2070,4954
2090,100605
2100,2496
2105,2078
2110,32468
2122,58506
2130,13746
2150,13732
2158,8049
2164,1562
2170,104365
2180,9917
2185,9606
2188,7673
2195,3149
2198,6347
2220,8830
2230,1088
2240,6876
2261,9355
2275,2411
2282,601
2290,5526
4001,73112
4003,125770
4005,140908
4007,53556
4009,37599
4011,9613
4012,20317
4013,4242997
4015,205249
4017,110026
4019,1016206
4021,418540
4023,45985
4025,225562
4027,205631
5001,18214
5003,20492
5005,41062
5007,258291
5009,37304
5011,10996
5013,5144
5015,27646
5017,10945
5019,22657
5021,14920
5023,25264
5025,8241
5027,23901
5029,20937
5031,105835
5033,62267
5035,49235
5037,17037
5039,7469
5041,11876
5043,18651
5045,122227
5047,17626
5049,12123
5051,97477
5053,18082
5055,44598
5057,21974
5059,33374
5061,13377
5063,37168
5065,13433
5067,17221
5069,70016
5071,26176
5073,6847
5075,16735
5077,9310
5079,13705
5081,12451
5083,21792
5085,72228
5087,16072
5089,16325
5091,43787
5093,42835
5095,7169
5097,8879
5099,8398
5101,7936
5103,24098
5105,10132
5107,18975
5109,10832
5111,24023
5113,20173
5115,63779
5117,8251
5119,393250
5121,17448
5123,26196
5125,118703
5127,10277
5129,7967
5131,127793
5133,16910
5135,17157
5137,12539
5139,39887
5141,16628
5143,228049
5145,79263
5147,6641
5149,21552
6001,1647704
6003,1071
6005,37383
6007,226864
6009,45171
6011,21588
6013,1135127
6015,27540
6017,185625
6019,979915
6021,28085
6023,136646
6025,180883
6027,18144
6029,884788
6031,149785
6033,64116
6035,30870
6037,10137915
6039,154697
6041,260651
6043,17410
6045,87628
6047,268672
6049,8795
6051,13981
6053,435232
6055,142166
